episode,alpha_emp,A1_action,A2_action,A3_action,A4_action,r1,r2,r3,r4,r1_shaped,r2_shaped,r3_shaped,r4_shaped,epsilon_A1,epsilon_A2,epsilon_A3,epsilon_A4,total_reward,coop_flag,moving_avg_coop,moving_avg_total_reward
143,0.8,S,H,S,H,1.3333,2.6667,1.3333,2.6667,1.5111,2.4889,1.5111,2.4889,0.4883,0.4883,0.4883,0.4883,8.0,0,0.1,9.23
144,0.8,S,H,H,S,1.3333,2.6667,2.6667,1.3333,1.5111,2.4889,2.4889,1.5111,0.4859,0.4859,0.4859,0.4859,8.0,0,0.1,9.23
145,0.8,S,S,H,S,2.6667,2.6667,3.0,2.6667,2.6889,2.6889,2.9333,2.6889,0.4834,0.4834,0.4834,0.4834,11.0,0,0.1,9.26
146,0.8,S,S,S,S,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.481,0.481,0.481,0.481,16.0,1,0.11,9.34
147,0.8,H,S,H,S,2.6667,1.3333,2.6667,1.3333,2.4889,1.5111,2.4889,1.5111,0.4786,0.4786,0.4786,0.4786,8.0,0,0.11,9.35
148,0.8,H,S,S,H,2.6667,1.3333,1.3333,2.6667,2.4889,1.5111,1.5111,2.4889,0.4762,0.4762,0.4762,0.4762,8.0,0,0.11,9.36
149,0.8,H,H,S,S,2.6667,2.6667,1.3333,1.3333,2.4889,2.4889,1.5111,1.5111,0.4738,0.4738,0.4738,0.4738,8.0,0,0.11,9.36
150,0.8,H,H,S,H,2.3333,2.3333,0.0,2.3333,2.1778,2.1778,0.4667,2.1778,0.4715,0.4715,0.4715,0.4715,7.0,0,0.11,9.35
151,0.8,H,S,S,S,3.0,2.6667,2.6667,2.6667,2.9333,2.6889,2.6889,2.6889,0.4691,0.4691,0.4691,0.4691,11.0,0,0.11,9.38
152,0.8,S,S,H,S,2.6667,2.6667,3.0,2.6667,2.6889,2.6889,2.9333,2.6889,0.4668,0.4668,0.4668,0.4668,11.0,0,0.11,9.41
153,0.8,S,S,S,H,2.6667,2.6667,2.6667,3.0,2.6889,2.6889,2.6889,2.9333,0.4644,0.4644,0.4644,0.4644,11.0,0,0.11,9.41
154,0.8,S,H,S,H,1.3333,2.6667,1.3333,2.6667,1.5111,2.4889,1.5111,2.4889,0.4621,0.4621,0.4621,0.4621,8.0,0,0.11,9.41
155,0.8,S,H,H,S,1.3333,2.6667,2.6667,1.3333,1.5111,2.4889,2.4889,1.5111,0.4598,0.4598,0.4598,0.4598,8.0,0,0.11,9.41
156,0.8,H,S,H,H,2.3333,0.0,2.3333,2.3333,2.1778,0.4667,2.1778,2.1778,0.4575,0.4575,0.4575,0.4575,7.0,0,0.11,9.4
157,0.8,H,S,S,H,2.6667,1.3333,1.3333,2.6667,2.4889,1.5111,1.5111,2.4889,0.4552,0.4552,0.4552,0.4552,8.0,0,0.11,9.37
158,0.8,H,S,S,S,3.0,2.6667,2.6667,2.6667,2.9333,2.6889,2.6889,2.6889,0.4529,0.4529,0.4529,0.4529,11.0,0,0.11,9.41
159,0.8,S,S,H,S,2.6667,2.6667,3.0,2.6667,2.6889,2.6889,2.9333,2.6889,0.4507,0.4507,0.4507,0.4507,11.0,0,0.11,9.44
160,0.8,H,S,S,S,3.0,2.6667,2.6667,2.6667,2.9333,2.6889,2.6889,2.6889,0.4484,0.4484,0.4484,0.4484,11.0,0,0.11,9.48
161,0.8,S,S,S,S,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.4462,0.4462,0.4462,0.4462,16.0,1,0.12,9.56
