episode,alpha_emp,N,A1_action,A2_action,A3_action,A4_action,r1,r2,r3,r4,r1_shaped,r2_shaped,r3_shaped,r4_shaped,epsilon_A1,epsilon_A2,epsilon_A3,epsilon_A4,total_reward,coop_flag,moving_avg_coop,moving_avg_total_reward
227,0.8,4,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3205,0.3205,0.3205,0.3205,4.0,0,0.0,7.77
228,0.8,4,D,C,C,D,3.6667,1.0,1.0,3.6667,3.3111,1.3556,1.3556,3.3111,0.3189,0.3189,0.3189,0.3189,9.3333,0,0.0,7.77
229,0.8,4,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3173,0.3173,0.3173,0.3173,4.0,0,0.0,7.7167
230,0.8,4,D,C,D,D,2.3333,0.0,2.3333,2.3333,2.1778,0.4667,2.1778,2.1778,0.3157,0.3157,0.3157,0.3157,7.0,0,0.0,7.6933
231,0.8,4,D,C,D,D,2.3333,0.0,2.3333,2.3333,2.1778,0.4667,2.1778,2.1778,0.3141,0.3141,0.3141,0.3141,7.0,0,0.0,7.6533
232,0.8,4,D,C,D,C,3.6667,1.0,3.6667,1.0,3.3111,1.3556,3.3111,1.3556,0.3126,0.3126,0.3126,0.3126,9.3333,0,0.0,7.6367
233,0.8,4,C,C,D,D,1.0,1.0,3.6667,3.6667,1.3556,1.3556,3.3111,3.3111,0.311,0.311,0.311,0.311,9.3333,0,0.0,7.62
234,0.8,4,C,D,D,D,0.0,2.3333,2.3333,2.3333,0.4667,2.1778,2.1778,2.1778,0.3095,0.3095,0.3095,0.3095,7.0,0,0.0,7.62
235,0.8,4,D,C,D,D,2.3333,0.0,2.3333,2.3333,2.1778,0.4667,2.1778,2.1778,0.3079,0.3079,0.3079,0.3079,7.0,0,0.0,7.5967
236,0.8,4,D,C,D,D,2.3333,0.0,2.3333,2.3333,2.1778,0.4667,2.1778,2.1778,0.3064,0.3064,0.3064,0.3064,7.0,0,0.0,7.6267
237,0.8,4,D,C,D,D,2.3333,0.0,2.3333,2.3333,2.1778,0.4667,2.1778,2.1778,0.3048,0.3048,0.3048,0.3048,7.0,0,0.0,7.5867
238,0.8,4,D,C,D,D,2.3333,0.0,2.3333,2.3333,2.1778,0.4667,2.1778,2.1778,0.3033,0.3033,0.3033,0.3033,7.0,0,0.0,7.5867
239,0.8,4,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3018,0.3018,0.3018,0.3018,4.0,0,0.0,7.5567
240,0.8,4,D,C,D,C,3.6667,1.0,3.6667,1.0,3.3111,1.3556,3.3111,1.3556,0.3003,0.3003,0.3003,0.3003,9.3333,0,0.0,7.58
241,0.8,4,D,C,D,D,2.3333,0.0,2.3333,2.3333,2.1778,0.4667,2.1778,2.1778,0.2988,0.2988,0.2988,0.2988,7.0,0,0.0,7.58
242,0.8,4,D,C,D,D,2.3333,0.0,2.3333,2.3333,2.1778,0.4667,2.1778,2.1778,0.2973,0.2973,0.2973,0.2973,7.0,0,0.0,7.58
243,0.8,4,D,C,D,D,2.3333,0.0,2.3333,2.3333,2.1778,0.4667,2.1778,2.1778,0.2958,0.2958,0.2958,0.2958,7.0,0,0.0,7.58
244,0.8,4,D,C,D,D,2.3333,0.0,2.3333,2.3333,2.1778,0.4667,2.1778,2.1778,0.2943,0.2943,0.2943,0.2943,7.0,0,0.0,7.58
245,0.8,4,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2929,0.2929,0.2929,0.2929,4.0,0,0.0,7.5267
246,0.8,4,D,C,D,D,2.3333,0.0,2.3333,2.3333,2.1778,0.4667,2.1778,2.1778,0.2914,0.2914,0.2914,0.2914,7.0,0,0.0,7.4867
