step,experiment,type,N,empathy_alpha,A1_action,A2_action,r1,r2,r1_shaped,r2_shaped,epsilon_A1,epsilon_A2,state,total_reward,coop_flag,moving_avg_coop,moving_avg_total_reward,extra_total_extraction,extra_stock_level
144,pd_N2,matrix,2,1.0,D,D,1.0,1.0,1.0,1.0,0.4859,0.4859,"('D', 'D')",2.0,0,0.12,4.04,,
145,pd_N2,matrix,2,1.0,D,D,1.0,1.0,1.0,1.0,0.4834,0.4834,"('D', 'D')",2.0,0,0.12,4.01,,
146,pd_N2,matrix,2,1.0,D,C,5.0,0.0,5.0,0.0,0.481,0.481,"('D', 'C')",5.0,0,0.11,4.0,,
147,pd_N2,matrix,2,1.0,D,D,1.0,1.0,1.0,1.0,0.4786,0.4786,"('D', 'D')",2.0,0,0.11,3.97,,
148,pd_N2,matrix,2,1.0,D,D,1.0,1.0,1.0,1.0,0.4762,0.4762,"('D', 'D')",2.0,0,0.11,3.94,,
149,pd_N2,matrix,2,1.0,C,C,3.0,3.0,3.0,3.0,0.4738,0.4738,"('C', 'C')",6.0,1,0.12,3.95,,
150,pd_N2,matrix,2,1.0,D,D,1.0,1.0,1.0,1.0,0.4715,0.4715,"('D', 'D')",2.0,0,0.12,3.92,,
151,pd_N2,matrix,2,1.0,D,C,5.0,0.0,5.0,0.0,0.4691,0.4691,"('D', 'C')",5.0,0,0.12,3.92,,
152,pd_N2,matrix,2,1.0,D,C,5.0,0.0,5.0,0.0,0.4668,0.4668,"('D', 'C')",5.0,0,0.12,3.92,,
153,pd_N2,matrix,2,1.0,D,D,1.0,1.0,1.0,1.0,0.4644,0.4644,"('D', 'D')",2.0,0,0.12,3.89,,
154,pd_N2,matrix,2,1.0,C,D,0.0,5.0,0.0,5.0,0.4621,0.4621,"('C', 'D')",5.0,0,0.11,3.88,,
155,pd_N2,matrix,2,1.0,D,C,5.0,0.0,5.0,0.0,0.4598,0.4598,"('D', 'C')",5.0,0,0.11,3.91,,
156,pd_N2,matrix,2,1.0,D,D,1.0,1.0,1.0,1.0,0.4575,0.4575,"('D', 'D')",2.0,0,0.11,3.88,,
157,pd_N2,matrix,2,1.0,C,C,3.0,3.0,3.0,3.0,0.4552,0.4552,"('C', 'C')",6.0,1,0.12,3.92,,
158,pd_N2,matrix,2,1.0,C,C,3.0,3.0,3.0,3.0,0.4529,0.4529,"('C', 'C')",6.0,1,0.13,3.93,,
159,pd_N2,matrix,2,1.0,D,D,1.0,1.0,1.0,1.0,0.4507,0.4507,"('D', 'D')",2.0,0,0.13,3.93,,
160,pd_N2,matrix,2,1.0,D,C,5.0,0.0,5.0,0.0,0.4484,0.4484,"('D', 'C')",5.0,0,0.13,3.93,,
161,pd_N2,matrix,2,1.0,D,C,5.0,0.0,5.0,0.0,0.4462,0.4462,"('D', 'C')",5.0,0,0.12,3.92,,
162,pd_N2,matrix,2,1.0,D,D,1.0,1.0,1.0,1.0,0.444,0.444,"('D', 'D')",2.0,0,0.12,3.92,,
163,pd_N2,matrix,2,1.0,D,D,1.0,1.0,1.0,1.0,0.4417,0.4417,"('D', 'D')",2.0,0,0.12,3.92,,
164,pd_N2,matrix,2,1.0,D,D,1.0,1.0,1.0,1.0,0.4395,0.4395,"('D', 'D')",2.0,0,0.12,3.89,,
165,pd_N2,matrix,2,1.0,D,D,1.0,1.0,1.0,1.0,0.4373,0.4373,"('D', 'D')",2.0,0,0.11,3.85,,
166,pd_N2,matrix,2,1.0,D,D,1.0,1.0,1.0,1.0,0.4351,0.4351,"('D', 'D')",2.0,0,0.11,3.82,,
