episode,alpha_emp,A1_action,A2_action,A3_action,A4_action,r1,r2,r3,r4,r1_shaped,r2_shaped,r3_shaped,r4_shaped,epsilon_A1,epsilon_A2,epsilon_A3,epsilon_A4,total_reward,coop_flag,moving_avg_coop,moving_avg_total_reward
148,1.0,D,D,C,D,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.0,2.3333,0.4762,0.4762,0.4762,0.4762,7.0,0,0.03,8.6167
149,1.0,D,C,C,C,5.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,0.4738,0.4738,0.4738,0.4738,11.0,0,0.03,8.6567
150,1.0,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4715,0.4715,0.4715,0.4715,4.0,0,0.03,8.5867
151,1.0,D,D,D,C,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.0,0.4691,0.4691,0.4691,0.4691,7.0,0,0.03,8.5633
152,1.0,C,C,D,D,1.0,1.0,3.6667,3.6667,1.0,1.0,3.6667,3.6667,0.4668,0.4668,0.4668,0.4668,9.3333,0,0.03,8.5633
153,1.0,C,C,C,D,2.0,2.0,2.0,5.0,2.0,2.0,2.0,5.0,0.4644,0.4644,0.4644,0.4644,11.0,0,0.03,8.5633
154,1.0,C,D,C,D,1.0,3.6667,1.0,3.6667,1.0,3.6667,1.0,3.6667,0.4621,0.4621,0.4621,0.4621,9.3333,0,0.03,8.5633
155,1.0,C,D,D,C,1.0,3.6667,3.6667,1.0,1.0,3.6667,3.6667,1.0,0.4598,0.4598,0.4598,0.4598,9.3333,0,0.03,8.6167
156,1.0,D,C,D,D,2.3333,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,0.4575,0.4575,0.4575,0.4575,7.0,0,0.03,8.5933
157,1.0,D,C,C,D,3.6667,1.0,1.0,3.6667,3.6667,1.0,1.0,3.6667,0.4552,0.4552,0.4552,0.4552,9.3333,0,0.03,8.5767
158,1.0,D,C,C,C,5.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,0.4529,0.4529,0.4529,0.4529,11.0,0,0.03,8.6167
159,1.0,C,C,D,D,1.0,1.0,3.6667,3.6667,1.0,1.0,3.6667,3.6667,0.4507,0.4507,0.4507,0.4507,9.3333,0,0.03,8.6167
160,1.0,D,C,D,D,2.3333,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,0.4484,0.4484,0.4484,0.4484,7.0,0,0.03,8.6167
161,1.0,D,D,C,D,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.0,2.3333,0.4462,0.4462,0.4462,0.4462,7.0,0,0.03,8.5933
162,1.0,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.444,0.444,0.444,0.444,4.0,0,0.03,8.5633
163,1.0,C,C,D,C,2.0,2.0,5.0,2.0,2.0,2.0,5.0,2.0,0.4417,0.4417,0.4417,0.4417,11.0,0,0.03,8.6033
