step,experiment,type,N,baseline,empathy_alpha,hetero_tag,learn_alpha_signal,alpha1,alpha2,alpha3,alpha4,alpha_mean,a1,a2,a3,a4,r1,r2,r3,r4,total_reward,coop_strict,coop_fraction,ineq_var,stock_level,collapse,ma_coop_strict,ma_coop_fraction,ma_total_reward,ma_ineq_var,ma_stock_level,ma_collapse,ma_alpha_mean
304,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.0,1.0,0.8,0.575,D,C,C,D,3.6667,1.0,1.0,3.6667,9.3333,0,0.5,1.777778,,,0.08,0.5275,9.2433,1.377986,,,0.4475
305,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.0,1.0,0.8,0.575,C,C,D,D,1.0,1.0,3.6667,3.6667,9.3333,0,0.5,1.777778,,,0.08,0.53,9.2667,1.385556,,,0.4495
306,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.0,1.0,0.8,0.575,D,D,C,D,2.3333,2.3333,0.0,2.3333,7.0,0,0.25,1.020833,,,0.08,0.5275,9.2433,1.377986,,,0.4515
307,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.0,1.0,0.8,0.575,C,C,C,D,2.0,2.0,2.0,5.0,11.0,0,0.75,1.6875,,,0.07,0.525,9.2333,1.394861,,,0.4535
308,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.0,1.0,0.8,0.575,D,C,C,C,5.0,2.0,2.0,2.0,11.0,0,0.75,1.6875,,,0.07,0.53,9.2733,1.401528,,,0.4555
309,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.0,1.0,0.8,0.575,D,C,C,D,3.6667,1.0,1.0,3.6667,9.3333,0,0.5,1.777778,,,0.07,0.535,9.3267,1.419306,,,0.4575
310,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.0,1.0,0.8,0.575,C,C,D,D,1.0,1.0,3.6667,3.6667,9.3333,0,0.5,1.777778,,,0.07,0.535,9.3267,1.419306,,,0.4595
311,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.0,1.0,0.8,0.575,D,D,C,C,3.6667,3.6667,1.0,1.0,9.3333,0,0.5,1.777778,,,0.07,0.5375,9.35,1.426875,,,0.4615
312,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.0,1.0,0.8,0.575,D,C,C,D,3.6667,1.0,1.0,3.6667,9.3333,0,0.5,1.777778,,,0.07,0.535,9.3333,1.427778,,,0.4635
313,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.0,1.0,0.8,0.575,C,D,C,D,1.0,3.6667,1.0,3.6667,9.3333,0,0.5,1.777778,,,0.07,0.5375,9.3567,1.435347,,,0.4655
314,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.0,1.0,0.8,0.575,D,C,C,D,3.6667,1.0,1.0,3.6667,9.3333,0,0.5,1.777778,,,0.07,0.5425,9.41,1.453125,,,0.4675
315,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.0,1.0,0.8,0.575,C,C,D,D,1.0,1.0,3.6667,3.6667,9.3333,0,0.5,1.777778,,,0.07,0.54,9.3933,1.454028,,,0.4695
316,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.0,1.0,0.8,0.575,D,D,C,D,2.3333,2.3333,0.0,2.3333,7.0,0,0.25,1.020833,,,0.07,0.535,9.3533,1.447361,,,0.4715
317,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.0,1.0,0.8,0.575,C,C,C,D,2.0,2.0,2.0,5.0,11.0,0,0.75,1.6875,,,0.06,0.5325,9.3433,1.464236,,,0.4735
318,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.0,1.0,0.8,0.575,D,C,D,C,3.6667,1.0,3.6667,1.0,9.3333,0,0.5,1.777778,,,0.06,0.535,9.3667,1.471806,,,0.4755
