episode,alpha_emp,A1_action,A2_action,A3_action,A4_action,r1,r2,r3,r4,r1_shaped,r2_shaped,r3_shaped,r4_shaped,epsilon_A1,epsilon_A2,epsilon_A3,epsilon_A4,total_extraction,stock_level,total_reward,coop_flag,moving_avg_coop,moving_avg_total_reward
91,0.2,0,1,2,2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.6337,0.6337,0.6337,0.6337,5,0,-2.0,0,,
92,0.2,2,0,0,1,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.6306,0.6306,0.6306,0.6306,3,0,-2.0,1,,
93,0.2,0,0,0,1,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.6274,0.6274,0.6274,0.6274,1,1,-2.0,1,,
94,0.2,1,1,0,1,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.6243,0.6243,0.6243,0.6243,3,0,-2.0,1,,
95,0.2,0,2,0,1,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.6211,0.6211,0.6211,0.6211,3,0,-2.0,1,,
96,0.2,0,2,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.618,0.618,0.618,0.618,2,0,-2.0,1,,
97,0.2,0,0,1,2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.6149,0.6149,0.6149,0.6149,3,0,-2.0,1,,
98,0.2,1,1,2,1,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.6119,0.6119,0.6119,0.6119,5,0,-2.0,0,,
99,0.2,0,1,0,1,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.6088,0.6088,0.6088,0.6088,2,0,-2.0,1,,
100,0.2,2,0,2,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.6058,0.6058,0.6058,0.6058,4,0,-2.0,1,0.66,-1.48
101,0.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6027,0.6027,0.6027,0.6027,0,2,0.0,1,0.67,-1.53
