step,experiment,type,N,empathy_alpha,A1_action,A2_action,A3_action,A4_action,r1,r2,r3,r4,r1_shaped,r2_shaped,r3_shaped,r4_shaped,epsilon_A1,epsilon_A2,epsilon_A3,epsilon_A4,state,total_reward,coop_flag,moving_avg_coop,moving_avg_total_reward,extra_total_extraction,extra_stock_level
80,sh_N4,matrix,4,1.0,S,S,H,H,1.3333,1.3333,2.6667,2.6667,1.3333,1.3333,2.6667,2.6667,0.6696,0.6696,0.6696,0.6696,"('S', 'S', 'H', 'H')",8.0,0,,,,
81,sh_N4,matrix,4,1.0,S,H,H,H,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.6663,0.6663,0.6663,0.6663,"('S', 'H', 'H', 'H')",7.0,0,,,,
82,sh_N4,matrix,4,1.0,S,H,H,S,1.3333,2.6667,2.6667,1.3333,1.3333,2.6667,2.6667,1.3333,0.663,0.663,0.663,0.663,"('S', 'H', 'H', 'S')",8.0,0,,,,
83,sh_N4,matrix,4,1.0,S,S,S,H,2.6667,2.6667,2.6667,3.0,2.6667,2.6667,2.6667,3.0,0.6597,0.6597,0.6597,0.6597,"('S', 'S', 'S', 'H')",11.0,0,,,,
84,sh_N4,matrix,4,1.0,S,H,S,H,1.3333,2.6667,1.3333,2.6667,1.3333,2.6667,1.3333,2.6667,0.6564,0.6564,0.6564,0.6564,"('S', 'H', 'S', 'H')",8.0,0,,,,
85,sh_N4,matrix,4,1.0,S,H,S,S,2.6667,3.0,2.6667,2.6667,2.6667,3.0,2.6667,2.6667,0.6531,0.6531,0.6531,0.6531,"('S', 'H', 'S', 'S')",11.0,0,,,,
86,sh_N4,matrix,4,1.0,S,S,S,S,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.6498,0.6498,0.6498,0.6498,"('S', 'S', 'S', 'S')",16.0,1,,,,
87,sh_N4,matrix,4,1.0,H,S,S,H,2.6667,1.3333,1.3333,2.6667,2.6667,1.3333,1.3333,2.6667,0.6466,0.6466,0.6466,0.6466,"('H', 'S', 'S', 'H')",8.0,0,,,,
88,sh_N4,matrix,4,1.0,H,S,S,H,2.6667,1.3333,1.3333,2.6667,2.6667,1.3333,1.3333,2.6667,0.6433,0.6433,0.6433,0.6433,"('H', 'S', 'S', 'H')",8.0,0,,,,
89,sh_N4,matrix,4,1.0,H,H,H,H,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.6401,0.6401,0.6401,0.6401,"('H', 'H', 'H', 'H')",8.0,0,,,,
90,sh_N4,matrix,4,1.0,H,S,H,H,2.3333,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,0.6369,0.6369,0.6369,0.6369,"('H', 'S', 'H', 'H')",7.0,0,,,,
91,sh_N4,matrix,4,1.0,H,S,H,S,2.6667,1.3333,2.6667,1.3333,2.6667,1.3333,2.6667,1.3333,0.6337,0.6337,0.6337,0.6337,"('H', 'S', 'H', 'S')",8.0,0,,,,
92,sh_N4,matrix,4,1.0,H,S,H,H,2.3333,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,0.6306,0.6306,0.6306,0.6306,"('H', 'S', 'H', 'H')",7.0,0,,,,
93,sh_N4,matrix,4,1.0,H,H,H,H,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.6274,0.6274,0.6274,0.6274,"('H', 'H', 'H', 'H')",8.0,0,,,,
94,sh_N4,matrix,4,1.0,S,S,H,S,2.6667,2.6667,3.0,2.6667,2.6667,2.6667,3.0,2.6667,0.6243,0.6243,0.6243,0.6243,"('S', 'S', 'H', 'S')",11.0,0,,,,
95,sh_N4,matrix,4,1.0,H,H,H,H,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.6211,0.6211,0.6211,0.6211,"('H', 'H', 'H', 'H')",8.0,0,,,,
96,sh_N4,matrix,4,1.0,H,H,H,S,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.0,0.618,0.618,0.618,0.618,"('H', 'H', 'H', 'S')",7.0,0,,,,
97,sh_N4,matrix,4,1.0,H,S,H,H,2.3333,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,0.6149,0.6149,0.6149,0.6149,"('H', 'S', 'H', 'H')",7.0,0,,,,
98,sh_N4,matrix,4,1.0,S,H,H,H,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.6119,0.6119,0.6119,0.6119,"('S', 'H', 'H', 'H')",7.0,0,,,,
99,sh_N4,matrix,4,1.0,S,S,S,S,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.6088,0.6088,0.6088,0.6088,"('S', 'S', 'S', 'S')",16.0,1,,,,
100,sh_N4,matrix,4,1.0,H,H,S,H,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.0,2.3333,0.6058,0.6058,0.6058,0.6058,"('H', 'H', 'S', 'H')",7.0,0,0.05,8.86,,
101,sh_N4,matrix,4,1.0,S,S,H,H,1.3333,1.3333,2.6667,2.6667,1.3333,1.3333,2.6667,2.6667,0.6027,0.6027,0.6027,0.6027,"('S', 'S', 'H', 'H')",8.0,0,0.05,8.83,,
102,sh_N4,matrix,4,1.0,S,H,H,H,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.5997,0.5997,0.5997,0.5997,"('S', 'H', 'H', 'H')",7.0,0,0.05,8.82,,
103,sh_N4,matrix,4,1.0,S,H,H,S,1.3333,2.6667,2.6667,1.3333,1.3333,2.6667,2.6667,1.3333,0.5967,0.5967,0.5967,0.5967,"('S', 'H', 'H', 'S')",8.0,0,0.04,8.74,,
104,sh_N4,matrix,4,1.0,S,S,H,S,2.6667,2.6667,3.0,2.6667,2.6667,2.6667,3.0,2.6667,0.5937,0.5937,0.5937,0.5937,"('S', 'S', 'H', 'S')",11.0,0,0.04,8.74,,
105,sh_N4,matrix,4,1.0,H,H,H,H,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.5908,0.5908,0.5908,0.5908,"('H', 'H', 'H', 'H')",8.0,0,0.04,8.74,,
106,sh_N4,matrix,4,1.0,H,S,H,S,2.6667,1.3333,2.6667,1.3333,2.6667,1.3333,2.6667,1.3333,0.5878,0.5878,0.5878,0.5878,"('H', 'S', 'H', 'S')",8.0,0,0.04,8.74,,
107,sh_N4,matrix,4,1.0,H,S,H,H,2.3333,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,0.5849,0.5849,0.5849,0.5849,"('H', 'S', 'H', 'H')",7.0,0,0.04,8.7,,
